#OTU_ID	LL1	LL2	LL3	LR1	LR2	LR3	AL1	AL2	AL3	AR1	AR2	AR3	taxonomy
Alloacidobacterium_dinghuense	0	0	0	0	0	0	0	0	0	0	1	0	d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__Alloacidobacterium; s__Alloacidobacterium_dinghuense
Terriglobus_albidus	0	0	0	0	0	0	0	0	0	0	0	1	d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__Terriglobus; s__Terriglobus_albidus
Candidatus_Solibacter	0	0	0	0	0	0	0	0	0	0	0	1	d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Bryobacterales; f__Solibacteraceae; g__Candidatus; s__Solibacter
Luteitalea_pratensis	0	5	0	0	0	0	0	0	1	0	3	0	d__Bacteria; p__Acidobacteria; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Luteitalea; s__Luteitalea_pratensis
Actinomarinicola_tropica	0	0	0	0	0	0	0	1	0	0	0	0	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__Iamiaceae; g__Actinomarinicola; s__Actinomarinicola_tropica
Ilumatobacter_coccineus	0	3	0	0	0	0	1	0	0	1	0	0	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__Ilumatobacteraceae; g__Ilumatobacter; s__Ilumatobacter_coccineus
Actinomyces_naeslundii	0	0	0	0	0	0	0	0	0	0	0	2	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__Actinomyces_naeslundii
Pauljensenia_hongkongensis	0	0	0	0	0	0	0	0	0	0	0	1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Pauljensenia; s__Pauljensenia_hongkongensis
Schaalia_odontolytica	0	0	0	0	0	1	0	0	0	0	0	0	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Schaalia; s__Schaalia_odontolytica
Corynebacterium_aurimucosum	1	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium_aurimucosum
Corynebacterium_doosanense	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium_doosanense
Corynebacterium_imitans	0	0	0	0	2	0	0	0	0	1	0	0	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium_imitans
Corynebacterium_jeikeium	0	0	0	0	0	2	0	0	0	1	0	0	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium_jeikeium
Corynebacterium_lizhenjunii	0	0	0	0	0	0	0	0	0	0	0	1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium_lizhenjunii
Corynebacterium_matruchotii	0	0	0	0	0	0	0	0	0	0	0	1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium_matruchotii
Corynebacterium_mustelae	0	0	0	0	0	0	0	0	0	0	0	1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium_mustelae
Corynebacterium_segmentosum	0	0	0	0	0	0	0	0	1	1	3	3	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium_segmentosum
Corynebacterium_singulare	0	0	1	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium_singulare
Corynebacterium_ulcerans	0	1	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium_ulcerans
Corynebacterium_ureicelerivorans	0	0	0	0	0	3	0	0	1	0	1	0	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__Corynebacterium_ureicelerivorans
Lawsonella_clevelandensis	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Lawsonellaceae; g__Lawsonella; s__Lawsonella_clevelandensis
Brevibacterium_casei	1	0	0	0	0	0	0	0	0	0	1	0	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Brevibacteriaceae; g__Brevibacterium; s__Brevibacterium_casei
Brevibacterium_linens	0	0	1	0	0	0	0	0	0	2	0	0	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Brevibacteriaceae; g__Brevibacterium; s__Brevibacterium_linens
Brachybacterium_saurashtrense	0	0	0	0	0	0	0	0	0	1	0	0	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Dermabacteraceae; g__Brachybacterium; s__Brachybacterium_saurashtrense
Dermabacter_vaginalis	0	0	1	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Dermabacteraceae; g__Dermabacter; s__Dermabacter_vaginalis
