file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	Q20(%)	Q30(%)
results/01_data/LL1.fastq	FASTQ	DNA	14406	16042602	1	1113.6	2998	1333	1398	1450	0	1432	52.68	8.61
results/01_data/LL2.fastq	FASTQ	DNA	13959	19706889	20	1411.8	3077	1379	1424	1453	0	1427	53	8.6
results/01_data/LL3.fastq	FASTQ	DNA	14315	20036806	29	1399.7	2890	1374	1390	1443	0	1391	53.38	8.52
results/01_data/LR1.fastq	FASTQ	DNA	18528	26085234	7	1407.9	3108	1378	1413	1451	0	1419	53.47	8.61
results/01_data/LR2.fastq	FASTQ	DNA	17099	22017133	1	1287.6	3040	1374	1422	1453	0	1434	53.26	8.6
results/01_data/LR3.fastq	FASTQ	DNA	23411	20608354	1	880.3	3031	30	1369	1398	0	1388	53.25	8.45
results/01_data/AL1.fastq	FASTQ	DNA	17059	24123419	4	1414.1	3060	1425	1443	1454	0	1444	52.46	8.64
results/01_data/AL2.fastq	FASTQ	DNA	15139	21879645	10	1445.3	3102	1438	1452	1463	0	1453	53.29	8.99
results/01_data/AL3.fastq	FASTQ	DNA	11459	16544518	11	1443.8	2909	1435	1451	1463	0	1451	53.49	8.84
results/01_data/AR2.fastq	FASTQ	DNA	16313	23259823	11	1425.8	3096	1423	1443	1456	0	1444	52.7	8.61
results/01_data/AR1.fastq	FASTQ	DNA	18615	26393244	8	1417.8	2992	1421	1441	1454	0	1442	52.31	8.52
results/01_data/AR3.fastq	FASTQ	DNA	17124	24214943	7	1414.1	2971	1414	1440	1455	0	1441	52.04	8.28
