""	"Luteitalea_pratensis"	"Kocuria_palustris"	"Micrococcus_luteus"	"Rothia_aeria"	"Rothia_mucilaginosa"	"Cutibacterium_acnes"	"Cutibacterium_granulosum"	"Porphyromonas_asaccharolytica"	"Porphyromonas_cangingivalis"	"Porphyromonas_crevioricanis"	"Porphyromonas_gingivalis"	"Prevotella_intermedia"	"Prevotella_melaninogenica"	"Tannerella_forsythia"	"Flavisolibacter_tropicus"	"Capnocytophaga_canimorsus"	"Capnocytophaga_gingivalis"	"Capnocytophaga_sputigena"	"Cloacibacterium_normanense"	"Riemerella_anatipestifer"	"Candidatus_Nanosynbacter"	"Nostoc_flagelliforme"	"Oscillatoria_nigro-viridis"	"Deinococcus_puniceus"	"Truepera_radiovictrix"	"Planococcus_glaciei"	"Sporosarcina_ureae"	"Jeotgalicoccus_saudimassiliensis"	"Staphylococcus_aureus"	"Staphylococcus_auricularis"	"Staphylococcus_capitis"	"Staphylococcus_caprae"	"Staphylococcus_epidermidis"	"Staphylococcus_hominis"	"Staphylococcus_pseudintermedius"	"Gemella_haemolysans"	"Gemella_morbillorum"	"Gemella_sanguinis"	"Abiotrophia_defectiva"	"Suicoccus_acidiformans"	"Carnobacterium_divergens"	"Dolosigranulum_pigrum"	"Enterococcus_cecorum"	"Lactobacillus_crispatus"	"Lactobacillus_iners"	"Lactobacillus_jensenii"	"Lactococcus_cremoris"	"Lactococcus_lactis"	"Streptococcus_canis"	"Streptococcus_cristatus"	"Streptococcus_oralis"	"Streptococcus_suis"	"Clostridium_perfringens"	"Mogibacterium_diversum"	"Lachnoanaerobaculum_umeaense"	"Faecalibacterium_prausnitzii"	"Fastidiosipila_sanguinis"	"Filifactor_alocis"	"Peptacetobacter_hiranonis"	"Veillonella_parvula"	"Anaerococcus_mediterraneensis"	"Anaerococcus_prevotii"	"Finegoldia_magna"	"Parvimonas_micra"	"Peptoniphilus_harei"	"Peptoniphilus_ivorii"	"Ezakiella_massiliensis"	"Fusobacterium_nucleatum"	"Leptotrichia_hongkongensis"	"Pseudoleptotrichia_goodfellowii"	"Streptobacillus_moniliformis"	"Aquisphaera_giovannonii"	"Aureimonas_altamirensis"	"Neorhizobium_galegae"	"Haematobacter_massiliensis"	"Paracoccus_aminovorans"	"Paracoccus_yeei"	"Skermanella_pratensis"	"Orrella_dioscoreae"	"Lautropia_mirabilis"	"Ralstonia_pickettii"	"Acidovorax_antarcticus"	"Ottowia_oryzae"	"Alysiella_filiformis"	"Conchiformibius_steedae"	"Kingella_oralis"	"Neisseria_animaloris"	"Neisseria_shayeganii"	"Neisseria_zoodegmatis"	"Campylobacter_concisus"	"Campylobacter_gracilis"	"Campylobacter_hominis"	"Campylobacter_upsaliensis"	"Campylobacter_ureolyticus"	"Wolinella_succinogenes"	"Cardiobacterium_hominis"	"Dichelobacter_nodosus"	"Rheinheimera_mangrovi"	"Escherichia_coli"	"Klebsiella_pneumoniae"	"Salmonella_enterica"	"Buchnera_aphidicola"	"Erwinia_gerundensis"	"Candidatus_Fukatsuia"	"Acinetobacter_baumannii"	"Acinetobacter_johnsonii"	"Acinetobacter_ursingii"	"Moraxella_bovoculi"	"Moraxella_cuniculi"	"Moraxella_osloensis"	"Aggregatibacter_aphrophilus"	"Frederiksenia_canicola"	"Glaesserella_parasuis"	"Haemophilus_parahaemolyticus"	"Haemophilus_parainfluenzae"	"Pasteurella_multocida"	"Pseudomonas_aeruginosa"	"Pseudomonas_oryzihabitans"	"Pseudomonas_psychrotolerans"	"Luteimonas_granuli"	"Pseudoxanthomonas_mexicana"	"Pseudoxanthomonas_spadix"	"Treponema_denticola"	"Corynebacterium"	"Brevibacterium"	"Brachybacterium"	"Aurantimicrobium"	"Microbacterium"	"Arthrobacter"	"Kocuria"	"Micrococcus"	"Rothia"	"Cutibacterium"	"Microlunatus"	"Bacteroides"	"Porphyromonas"	"Prevotella"	"Tannerella"	"Flavisolibacter"	"Hymenobacter"	"Capnocytophaga"	"Flavobacterium"	"Chryseobacterium"	"Pedobacter"	"Sphingobacterium"	"Chondrocystis"	"Nostoc"	"Deinococcus"	"Bacillus"	"Lysinibacillus"	"Paenibacillus"	"Sporosarcina"	"Staphylococcus"	"Exiguobacterium"	"Gemella"	"Aerococcus"	"Carnobacterium"	"Enterococcus"	"Lactobacillus"	"Leuconostoc"	"Lactococcus"	"Streptococcus"	"Clostridium"	"Romboutsia"	"Selenomonas"	"Dialister"	"Veillonella"	"Anaerococcus"	"Fusobacterium"	"Leptotrichia"	"Brevundimonas"	"Devosia"	"Methylobacterium"	"Neorhizobium"	"Paracoccus"	"Roseomonas"	"Sphingobium"	"Sphingomonas"	"Ralstonia"	"Ottowia"	"Polaromonas"	"Variovorax"	"Janthinobacterium"	"Massilia"	"Neisseria"	"Arcobacter"	"Campylobacter"	"Helicobacter"	"Aeromonas"	"Klebsiella"	"Pantoea"	"Rahnella"	"Acinetobacter"	"Moraxella"	"Psychrobacter"	"Actinobacillus"	"Aggregatibacter"	"Haemophilus"	"Pasteurella"	"Pseudomonas"	"Luteimonas"	"Lysobacter"	"Stenotrophomonas"	"Treponema"	"Actinomycetaceae"	"Microbacteriaceae"	"Micrococcaceae"	"Propionibacteriaceae"	"Chitinophagaceae"	"Flavobacteriaceae"	"Weeksellaceae"	"Nostocaceae"	"Bacillaceae"	"Planococcaceae"	"Staphylococcaceae"	"Aerococcaceae"	"Carnobacteriaceae"	"Lactobacillaceae"	"Streptococcaceae"	"Clostridiaceae"	"Lachnospiraceae"	"Peptostreptococcaceae"	"Peptoniphilaceae"	"Fusobacteriaceae"	"Leptotrichiaceae"	"Caulobacteraceae"	"Methylobacteriaceae"	"Nitrobacteraceae"	"Rhizobiaceae"	"Rhodobacteraceae"	"Acetobacteraceae"	"Rhodospirillaceae"	"Erythrobacteraceae"	"Sphingomonadaceae"	"Alcaligenaceae"	"Burkholderiaceae"	"Comamonadaceae"	"Oxalobacteraceae"	"Neisseriaceae"	"Arcobacteraceae"	"Helicobacteraceae"	"Cardiobacteriaceae"	"Enterobacteriaceae"	"Erwiniaceae"	"Yersiniaceae"	"Moraxellaceae"	"Pasteurellaceae"	"Pseudomonadaceae"	"Xanthomonadaceae"	"Micrococcales"	"Propionibacteriales"	"Bacteroidales"	"Flavobacteriales"	"Chroococcales"	"Nostocales"	"Oscillatoriales"	"Synechococcales"	"Bacillales"	"Lactobacillales"	"Eubacteriales"	"Tissierellales"	"Hyphomicrobiales"	"Sphingomonadales"	"Burkholderiales"	"Neisseriales"	"Myxococcales"	"Enterobacterales"	"Pseudomonadales"	"Xanthomonadales"
"LL1"	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	92	832	0	0	31	19	8	14	0	0	0	0	0	30	0	9	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	25	25	0	16	0	0	0	0	0	0	0	12	0	8	70	20	0	0	8	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	780	0	0	0	0	40	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	2811	0	27	0	0	0	35	0	0	469	0	0	7	0	30	26	6	0	23	0	0	0	2688	30	0	8	0	0	0	6	0	0	24	0	9	0	0	0	8	0	91	11	0	0	0	18	0	166	0	0	10	0	0	0	7	15	0	0	10	0	0	0	25	0	0	0	8	0	0	0	0	0	0	0	0	0	13	809	0	0	0	9	0	7	9	9	14	0	0	0	18	0	0	44	71	6	11	10	0	0	0	0	11	0	0	261	17	0	0	15	0	12	0	0	38	13	0
"LL2"	5	7	0	0	0	25	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0	5	15	68	303	5	0	25	64	0	19	7	6	7	15	0	23	0	34	62	0	23	34	0	0	0	0	0	12	0	0	0	17	0	6	24	128	121	0	39	14	29	5	0	0	0	7	19	0	34	183	26	0	7	0	5	0	0	0	31	0	0	0	0	12	0	5	0	9	0	0	0	0	5	0	0	0	0	0	17	0	36	0	0	1237	5	10	0	8	76	0	7	13	0	0	0	7	0	8	0	0	7	7	0	0	13	0	5	0	0	0	0	0	11	0	0	0	5	0	0	0	0	10	17	0	0	8	1714	0	38	0	0	0	122	12	15	413	16	0	0	14	25	82	0	0	217	0	0	0	3894	119	0	16	47	0	0	0	0	12	40	0	21	0	14	0	0	0	312	21	8	0	0	30	0	377	0	0	36	0	0	9	27	42	19	0	9	0	6	5	20	9	0	0	7	0	5	9	12	0	0	30	0	0	42	893	9	0	0	10	0	19	22	13	25	0	0	0	38	0	0	45	155	0	15	15	0	0	0	0	5	0	0	170	60	26	11	47	6	54	5	0	62	14	0
"LL3"	0	0	0	0	0	12	0	0	27	0	25	0	0	0	0	0	0	0	0	0	0	0	5	0	5	7	0	17	25	0	0	0	0	41	0	0	0	0	6	7	0	31	0	40	50	0	0	0	8	0	0	0	0	0	0	0	0	12	0	0	6	104	116	24	40	22	24	7	0	0	0	0	35	0	57	254	40	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	7	0	0	0	0	0	5	0	0	0	0	0	9	0	35	6	0	1138	7	61	0	0	10	5	6	36	0	9	0	0	0	9	19	0	0	0	0	0	0	0	0	8	0	12	0	0	7	0	0	0	0	7	0	0	0	12	12	8	6	0	760	6	7	0	0	0	87	0	0	45	0	0	0	0	0	78	35	0	68	6	0	0	5640	61	0	23	12	0	0	0	0	86	12	0	59	0	0	0	0	0	340	30	22	0	0	0	0	402	6	5	21	0	0	0	6	22	21	0	0	0	51	6	20	6	0	5	0	5	12	38	14	0	0	8	0	5	70	1249	16	0	6	16	0	7	42	73	16	0	0	0	31	0	0	47	202	6	29	53	7	16	0	0	21	0	0	104	28	77	11	48	11	32	0	0	36	19	0
"LR1"	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	18	0	0	0	0	5	0	0	0	5	105	0	0	5	16	25	0	0	0	0	0	0	0	18	95	5	68	10	0	0	0	0	0	0	0	0	0	26	6	17	0	0	9	70	37	10	36	7	13	6	0	0	0	0	68	5	40	101	34	16	0	0	0	0	0	0	25	0	0	0	0	0	0	5	0	8	0	0	0	0	0	0	0	0	0	0	8	5	64	0	0	3007	0	0	0	55	12	0	9	20	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3067	0	0	0	0	13	34	0	0	102	0	0	0	7	0	25	33	0	95	6	0	0	6108	69	0	39	11	0	0	0	0	13	10	0	0	8	0	0	0	0	469	11	6	6	0	12	5	614	0	0	8	0	0	0	5	10	6	0	6	0	0	0	50	0	0	6	0	0	0	0	6	0	0	10	6	0	78	1310	5	12	19	16	0	6	8	42	60	0	0	0	17	0	0	110	89	11	11	7	0	0	0	0	11	0	0	182	20	18	5	69	8	13	9	7	10	19	0
"LR2"	0	0	0	0	0	0	0	5	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	13	0	0	21	145	0	0	5	15	58	5	0	0	0	14	14	0	19	0	20	54	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	18	118	89	0	54	6	6	0	0	0	0	0	47	0	20	125	34	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	35	0	0	2258	5	0	0	0	0	0	6	35	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	7	0	0	13	10	0	0	0	0	0	0	0	0	9	0	0	6	3395	0	0	0	0	0	58	0	0	54	22	0	0	0	0	60	0	0	45	0	5	0	4091	213	0	10	5	0	0	0	0	13	0	0	0	0	17	0	6	0	328	24	12	0	7	0	0	569	0	0	12	0	0	0	0	0	19	0	0	0	0	5	58	26	0	0	0	5	5	8	10	0	0	6	0	0	63	888	12	0	8	8	0	0	28	40	15	0	0	0	28	0	0	68	195	12	11	0	0	18	0	0	0	6	5	246	21	25	10	38	10	25	0	0	44	22	0
"LR3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	18	26	0	0	0	0	38	0	0	0	0	5	0	0	15	0	17	15	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	19	99	88	7	56	5	11	0	0	0	0	0	12	0	19	88	46	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	8	0	19	0	0	1633	0	0	0	0	0	0	0	12	0	0	0	0	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	29	0	0	0	0	0	988	0	0	0	0	0	70	0	0	110	11	0	0	0	0	50	16	0	44	0	0	0	6370	563	0	16	16	0	6	0	0	10	8	0	0	0	5	0	7	0	203	18	0	0	0	0	6	255	0	0	26	0	0	0	0	0	12	0	0	9	0	0	11	0	0	0	0	0	0	0	9	0	0	5	0	0	15	1530	37	0	7	7	0	5	13	13	20	0	0	0	39	0	0	80	132	5	20	8	0	0	0	8	18	0	0	106	19	14	5	13	8	20	0	0	70	15	0
"AL1"	0	0	0	0	0	14	0	8	11	0	25	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	10	0	0	0	0	14	0	0	45	0	0	8	0	0	0	10	5	0	0	5	0	0	0	0	7	0	7	0	22	22	17	10	0	0	0	0	0	5	0	0	0	9	7	7	0	0	21	0	0	0	7	408	0	0	0	0	0	0	0	0	0	0	0	0	5	87	17	49	0	20	0	0	0	56	0	0	225	5	115	0	0	39	51	17	5	0	0	0	0	0	5	0	0	0	0	0	0	7	0	6	0	0	15	0	0	0	0	10	0	0	0	0	0	0	10	8	0	0	0	384	0	16	0	0	0	15	0	0	405	5	6	0	0	26	23	53	0	10	0	0	6	370	8	6	11	8	0	0	0	0	8	60	0	86	0	0	13	1120	9	345	52	11	15	8	34	29	946	0	0	0	0	0	0	0	26	8	0	12	0	0	0	7	0	0	0	18	0	12	26	0	0	0	0	0	0	98	200	9	0	0	11	0	19	25	29	392	5	0	0	1285	354	99	37	1012	37	7	0	0	38	5	0	11	0	0	61	32	100	0	48	7	39	41	0	4888	29	0
"AL2"	0	0	0	0	0	121	16	8	5	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	202	0	0	10	33	15	10	0	0	9	22	0	0	430	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	73	56	15	21	17	0	10	0	0	0	0	0	0	0	12	7	0	0	0	25	0	0	0	13	251	0	0	0	0	0	0	0	0	0	5	0	0	0	16	0	7	0	9	0	0	0	18	0	0	85	0	58	0	0	30	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	6704	0	51	0	0	0	0	0	0	579	0	0	0	0	13	225	41	0	0	0	0	0	149	11	0	0	15	0	0	0	0	0	26	0	23	0	0	5	125	0	132	23	6	20	0	7	14	282	0	10	5	0	0	0	0	177	0	0	13	0	0	0	50	0	6	0	30	0	12	23	5	0	0	0	0	0	26	39	0	0	0	0	0	28	26	13	262	8	0	5	197	42	5	21	1189	0	0	7	7	27	0	0	0	0	0	319	35	80	8	13	0	48	38	0	567	0	0
"AL3"	0	5	0	5	0	156	0	0	0	0	18	0	6	0	0	0	33	0	0	0	0	0	0	0	0	0	0	12	80	0	0	0	11	112	5	0	9	11	21	6	0	1293	0	0	276	11	0	0	0	0	0	0	0	0	8	0	0	11	0	34	25	106	47	18	22	0	0	6	0	0	0	0	11	0	0	13	0	0	0	21	0	0	0	0	133	5	0	0	0	0	0	0	0	0	5	0	0	0	11	0	0	0	63	0	0	0	11	0	0	58	6	42	0	0	247	11	0	0	0	0	0	0	0	18	10	0	0	0	0	0	7	0	42	0	0	0	7	0	0	0	24	0	8	0	0	0	0	7	0	0	6	0	2480	0	59	5	0	0	26	0	0	804	5	0	0	0	100	106	39	5	6	0	0	0	221	14	0	0	6	0	0	0	0	16	109	0	20	0	0	0	14	0	80	10	0	18	7	68	18	128	0	7	0	0	0	0	7	200	0	0	39	0	0	0	37	8	10	5	30	0	14	17	8	0	0	0	0	0	29	77	0	0	5	7	0	24	20	33	166	0	0	0	128	13	0	12	959	0	6	9	0	22	0	0	15	0	0	187	74	54	0	15	0	50	23	0	352	7	0
"AR1"	0	0	9	0	0	8	0	56	95	18	224	0	0	20	0	16	0	0	0	16	6	0	0	0	0	0	0	10	25	0	6	0	0	14	12	0	0	0	33	0	0	56	0	5	41	0	0	5	35	0	0	8	0	0	0	0	0	31	0	0	10	30	41	50	28	8	17	57	0	10	5	0	0	0	14	9	5	0	0	131	0	0	0	0	1062	0	0	10	13	0	0	0	0	8	32	9	17	0	6	0	0	0	0	0	11	0	74	40	35	492	0	445	0	0	20	82	40	6	11	0	0	0	6	13	21	0	0	0	0	0	131	0	0	0	20	80	5	5	6	0	63	6	11	0	0	0	0	8	16	0	0	0	1107	9	43	23	0	0	16	0	0	519	6	0	0	0	10	44	371	0	23	0	0	0	625	21	0	19	0	0	0	0	5	12	142	8	179	0	19	0	13	0	346	397	18	73	0	12	86	647	0	29	6	20	5	6	87	37	5	21	126	0	0	0	17	17	0	0	30	0	41	52	13	8	11	0	0	0	76	262	0	0	6	20	0	150	116	51	946	25	11	35	92	0	0	190	2245	32	60	30	5	252	16	0	19	0	0	125	120	308	21	45	10	252	137	0	167	54	8
